"","NEIGHBORHOOD","ZIP.CODE"
"1","HARLEM-CENTRAL           ",10030
"2","HARLEM-CENTRAL           ",10031
"3","HARLEM-CENTRAL           ",10027
"4","HARLEM-CENTRAL           ",10037
"5","HARLEM-CENTRAL           ",10026
"6","HARLEM-CENTRAL           ",10035
"7","HARLEM-CENTRAL           ",10039
"8","HARLEM-CENTRAL           ",10028
"9","HARLEM-EAST              ",10029
"10","HARLEM-EAST              ",10035
"11","HARLEM-EAST              ",10128
"12","HARLEM-EAST              ",10002
"13","UPPER EAST SIDE (96-110) ",10029
"14","UPPER EAST SIDE (96-110) ",10129
"15","UPPER EAST SIDE (96-110) ",10128
"16","UPPER EAST SIDE (79-96)  ",10075
"17","UPPER EAST SIDE (79-96)  ",10028
"18","UPPER EAST SIDE (79-96)  ",10128
"19","UPPER EAST SIDE (79-96)  ",10017
"20","MIDTOWN CBD              ",10017
"21","MIDTOWN CBD              ",10022
"22","MIDTOWN CBD              ",10021
"23","UPPER EAST SIDE (59-79)  ",10065
"24","UPPER EAST SIDE (59-79)  ",10021
"25","UPPER EAST SIDE (59-79)  ",10075
"26","UPPER EAST SIDE (59-79)  ",10044
"27","UPPER EAST SIDE (59-79)  ",10022
"28","MIDTOWN EAST             ",10017
"29","MIDTOWN EAST             ",10022
"30","MIDTOWN EAST             ",10002
"31","MIDTOWN EAST             ",10016
"32","FLATIRON                 ",10011
"33","FLATIRON                 ",10010
"34","FLATIRON                 ",10003
"35","FLATIRON                 ",10016
"36","FLATIRON                 ",10001
"37","GRAMERCY                 ",10003
"38","GRAMERCY                 ",10010
"39","GRAMERCY                 ",10016
"40","KIPS BAY                 ",10003
"41","KIPS BAY                 ",10016
"42","KIPS BAY                 ",10010
"43","KIPS BAY                 ",10009
"44","MURRAY HILL              ",10016
"45","CHELSEA                  ",10001
"46","CHELSEA                  ",10011
"47","CHELSEA                  ",10014
"48","CHELSEA                  ",10010
"49","EAST VILLAGE             ",10003
"50","EAST VILLAGE             ",10009
"51","EAST VILLAGE             ",10002
"52","GREENWICH VILLAGE-CENTRAL",10012
"53","GREENWICH VILLAGE-CENTRAL",10011
"54","GREENWICH VILLAGE-CENTRAL",10003
"55","GREENWICH VILLAGE-CENTRAL",10014
"56","ALPHABET CITY            ",10009
"57","ALPHABET CITY            ",10002
"58","CHINATOWN                ",10002
"59","CHINATOWN                ",10013
"60","CHINATOWN                ",10038
"61","HARLEM-UPPER             ",10031
"62","HARLEM-UPPER             ",10032
"63","HARLEM-UPPER             ",10002
"64","LOWER EAST SIDE          ",10002
"65","MORNINGSIDE HEIGHTS      ",10027
"66","MORNINGSIDE HEIGHTS      ",10002
"67","CIVIC CENTER             ",10007
"68","CIVIC CENTER             ",10013
"69","CIVIC CENTER             ",10038
"70","FINANCIAL                ",10005
"71","FINANCIAL                ",10006
"72","FINANCIAL                ",10038
"73","FINANCIAL                ",10004
"74","SOUTHBRIDGE              ",10038
